DATAFLOW,LAST UPDATE,freq,unit,operator,procstat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,IE,2020,27,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,IE,2021,58,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,IS,2012,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,IS,2014,2,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,IS,2015,2,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,IS,2016,2,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,IS,2017,2,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,IS,2018,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,IS,2019,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,IS,2020,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,IT,2015,621,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,IT,2016,518,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,IT,2017,470,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,IT,2018,582,r
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,IT,2019,741,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,IT,2020,885,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LT,2012,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LT,2013,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LT,2014,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LT,2015,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LT,2016,2,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LT,2017,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LT,2018,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LT,2019,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LT,2020,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LT,2021,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LU,2013,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LU,2014,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LU,2015,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LU,2016,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LU,2017,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LU,2018,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LU,2019,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LU,2020,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LU,2021,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LV,2012,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LV,2013,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LV,2014,1,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LV,2015,1,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LV,2016,1,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LV,2017,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,LV,2019,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,ME,2021,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,MK,2013,4,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,MK,2014,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,MK,2015,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,MK,2016,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,MK,2017,4,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,MK,2018,5,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,MK,2019,7,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,MK,2020,9,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,MK,2021,1,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,MT,2012,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,MT,2013,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,MT,2014,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,MT,2015,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,MT,2016,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,MT,2017,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,MT,2018,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,MT,2019,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,MT,2020,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,MT,2021,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,NL,2014,70,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,NL,2015,73,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,NL,2016,81,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,NL,2017,87,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,NL,2018,116,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,NL,2019,120,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,NL,2020,132,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,NL,2021,146,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,NO,2012,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,NO,2013,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,NO,2014,2,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,NO,2015,2,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,NO,2016,1,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,NO,2017,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,NO,2018,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,NO,2019,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,NO,2020,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,PL,2012,33,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,PL,2013,50,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,PL,2014,71,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,PL,2015,107,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,PL,2016,180,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,PL,2017,216,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,PL,2018,249,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,PL,2019,256,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,PL,2020,319,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,PT,2014,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,PT,2015,6,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,PT,2016,1,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,PT,2017,1,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,PT,2018,23,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,PT,2019,34,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,PT,2020,36,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,PT,2021,31,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,RO,2012,3,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,RO,2013,1,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,RO,2014,1,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,RO,2015,3,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,RO,2016,5,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,RO,2017,6,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,RO,2018,11,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,RO,2019,15,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,RO,2020,27,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,RO,2021,25,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,RS,2012,9,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,RS,2013,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,RS,2014,1,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,RS,2015,3,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,RS,2016,8,
