geo,year,Acidified Milk,Bovine Meat,Buffalos Milk,Butter,Cheese,Chicken Meat,Cows Milk,Cream,Drinking Milk,Eggs for consumption,Ewes Milk,Goat Meat,Goats Milk,Honey,Horses-Asses-Mules-Hinnies Meat,Meat of Livestock,Other Dairy Product,Other Meat,Pig Meat,Poultry Meat,Sheep Meat,Total Raw Milk,Cluster
FI,2019,0.0,2670.0,0.0,0.0,0.0,0.0,76214.0,0.0,0.0,4.30207915,0.0,0.0,0.0,0.0,0.0,3770.0,0.0,0.0,760.0,0.0,340.0,76214.0,0
FI,2020,0.0,3350.0,0.0,0.0,0.0,0.0,81378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4420.0,0.0,0.0,730.0,0.0,340.0,81378.0,0
FR,2012,46223.0,12705.0,0.0,6663.0,16588.0,0.0,460778.0,2320.0,197408.0,35.0,11161.0,0.0,3216.0,0.0,0.0,32763.0,14482.0,0.0,7672.0,11579.0,807.0,475155.0,1
FR,2014,51380.0,16783.0,0.0,7357.0,18076.0,0.0,506984.0,2363.0,217473.0,45.0,11438.0,0.0,4300.0,0.0,0.0,41773.0,15612.0,0.0,9570.0,12348.0,1145.0,522722.0,1
FR,2015,49054.0,18906.0,0.0,7938.0,19385.0,0.0,550760.0,3521.0,245604.0,64.2685911,12510.0,0.0,4246.0,0.0,0.0,44769.0,15718.0,0.0,9708.0,14275.0,1132.0,567516.0,1
FR,2016,51280.0,22441.0,0.0,8716.0,19872.0,0.0,588489.0,4028.0,270386.0,69.15,15891.0,0.0,4304.0,0.0,0.0,50175.0,0.0,0.0,10381.0,15023.0,1276.0,608684.0,1
FR,2017,52368.0,24949.0,0.0,9542.0,22342.0,0.0,581280.0,4815.0,278592.0,89.1,16580.0,0.0,5914.0,0.0,0.0,55694.0,0.0,0.0,11171.0,16077.0,1432.0,603774.0,1
FR,2018,55405.0,29388.0,0.0,11116.0,26833.0,0.0,649289.0,5975.0,316202.0,102.0,20493.0,0.0,9066.0,0.0,0.0,68948.0,0.0,0.0,14837.0,18142.0,1684.0,678849.0,1
FR,2019,65742.0,31973.0,0.0,14155.0,33584.0,0.0,872208.0,8207.0,328672.0,104.83,25956.0,0.0,11171.0,0.0,0.0,78808.0,0.0,0.0,19795.0,23039.0,1861.0,909336.0,1
FR,2020,67028.0,35448.0,0.0,17205.0,41292.0,0.0,1031059.0,10450.0,362228.0,0.0,30276.0,0.0,14296.0,0.0,0.0,85092.0,0.0,0.0,21607.0,25179.0,2060.0,1075631.0,1
FR,2013,69805.0,0.0,0.0,18282.0,44780.0,0.0,1163967.0,9997.0,415555.0,0.0,32742.0,0.0,22574.0,0.0,0.0,0.0,0.0,0.0,0.0,25977.0,0.0,1219283.0,1
HR,2012,0.0,75.0,0.0,0.0,766.0,0.0,1627.0,0.0,222.0,0.001,15.0,0.0,81.0,33.0,0.0,5.0,0.0,2.0,0.0,0.0,22.0,2865.0,0
HR,2013,0.0,811.0,0.0,0.0,19.0,0.0,2797.0,0.0,2600.0,0.0036,20.0,2.0,48.0,60.0,0.0,9.0,0.0,0.0,10.0,0.0,316.0,1782.0,0
HR,2014,2.0,1100.0,0.0,0.0,4.0,0.0,1700.0,300.0,0.0,0.00325,51.0,13.0,31.0,48.0,0.0,109.0,0.0,0.0,60.0,0.0,474.0,5987.0,0
HR,2015,0.0,1133.0,0.0,0.0,13.0,0.0,5947.0,0.0,0.0,0.00588875,37.0,14.0,40.0,47.0,21.0,1225.0,15.0,0.0,91.0,4.0,424.0,5163.0,0
HR,2016,0.0,1456.0,0.0,0.0,8.0,0.0,5023.0,0.0,117.0,0.0123445,28.0,13.0,102.0,29.0,92.0,1774.0,15.0,0.0,57.0,4.0,571.0,5782.0,0
HR,2017,0.0,1358.0,0.0,0.0,7.0,0.0,5671.0,0.0,105.0,0.0103,73.0,17.0,84.0,31.0,95.0,1725.0,22.0,0.0,141.0,3.0,538.0,3094.0,0
HR,2018,0.0,1857.0,0.0,0.0,43.0,0.0,2846.0,0.0,0.0,0.00915,108.0,21.0,175.0,28.0,124.0,2311.0,15.0,0.0,459.0,2.0,620.0,1476.0,0
HR,2019,0.0,2153.0,0.0,0.0,1.0,0.0,1087.0,0.0,2.0,0.0167105,86.0,18.0,280.0,48.0,226.0,2602.0,0.0,0.0,45.0,2.0,730.0,1869.0,0
HR,2020,0.0,0.0,0.0,0.0,4.0,0.0,1555.0,0.0,0.0,0.030767,0.0,18.0,229.0,0.0,293.0,2835.0,47.0,0.0,12.0,1.0,0.0,871.0,0
HR,2021,0.0,0.0,0.0,0.0,26.0,0.0,754.0,0.0,0.0,0.07509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
HU,2012,94.0,443.0,0.0,26.0,375.0,0.0,9308.0,21.0,6379.0,0.176985,0.0,4.0,73.0,0.0,5.0,906.0,0.0,5.0,278.0,133.0,39.0,9381.0,0
HU,2013,118.0,431.0,0.0,21.0,415.0,0.0,9353.0,16.0,6360.0,0.16706,0.0,4.0,69.0,0.0,4.0,894.0,0.0,5.0,275.0,133.0,42.0,9422.0,0
HU,2014,111.0,1435.0,0.0,20.0,390.0,0.0,6281.0,15.0,5978.0,0.272535,0.0,1.0,0.0,0.0,0.0,982.0,0.0,0.0,215.0,129.0,22.0,8856.0,0
HU,2015,144.0,0.0,0.0,26.0,508.0,0.0,0.0,19.0,7786.0,0.253666,0.0,0.0,0.0,0.0,0.0,888.0,0.0,0.0,0.0,0.0,0.0,11534.0,0
HU,2016,172.0,0.0,0.0,25.0,537.0,0.0,0.0,15.0,9907.0,0.1345491999999999,0.0,0.0,0.0,0.0,0.0,1376.0,0.0,0.0,0.0,0.0,0.0,13759.0,0
HU,2017,168.0,0.0,0.0,25.0,526.0,0.0,0.0,15.0,9711.0,0.2533602,0.0,0.0,0.0,0.0,0.0,1123.0,0.0,0.0,0.0,0.0,0.0,13487.0,0
HU,2018,59.0,0.0,0.0,9.0,184.0,0.0,0.0,5.0,3399.0,0.2359871999999999,0.0,0.0,0.0,0.0,0.0,1110.0,0.0,0.0,0.0,0.0,0.0,4721.0,0
