operator,procstat,geo,TIME_PERIOD,OBS_VALUE
EXP,REG_END,PT,2018,23.0
EXP,REG_END,PT,2019,34.0
EXP,REG_END,PT,2020,36.0
EXP,REG_END,PT,2021,31.0
EXP,REG_END,PT,2022,0.48
EXP,REG_END,RO,2012,3.0
EXP,REG_END,RO,2013,1.0
EXP,REG_END,RO,2014,1.0
EXP,REG_END,RO,2015,3.0
EXP,REG_END,RO,2016,5.0
EXP,REG_END,RO,2017,6.0
EXP,REG_END,RO,2018,11.0
EXP,REG_END,RO,2019,15.0
EXP,REG_END,RO,2020,27.0
EXP,REG_END,RO,2021,25.0
EXP,REG_END,RO,2022,25.0
EXP,REG_END,RS,2012,9.0
EXP,REG_END,RS,2013,0.0
EXP,REG_END,RS,2014,1.0
EXP,REG_END,RS,2015,3.0
EXP,REG_END,RS,2016,8.0
EXP,REG_END,RS,2018,20.0
EXP,REG_END,RS,2019,69.0
EXP,REG_END,RS,2020,100.0
EXP,REG_END,RS,2022,8.44
EXP,REG_END,SE,2012,1.0
EXP,REG_END,SE,2013,31.0
EXP,REG_END,SE,2014,32.0
EXP,REG_END,SE,2015,32.0
EXP,REG_END,SE,2016,10.0
EXP,REG_END,SE,2017,14.0
EXP,REG_END,SE,2018,13.0
EXP,REG_END,SE,2019,18.0
EXP,REG_END,SE,2020,15.0
EXP,REG_END,SE,2021,27.0
EXP,REG_END,SE,2022,27.0
EXP,REG_END,SI,2012,0.0
EXP,REG_END,SI,2013,0.0
EXP,REG_END,SI,2014,0.0
EXP,REG_END,SI,2015,0.0
EXP,REG_END,SI,2016,0.0
EXP,REG_END,SI,2017,0.0
EXP,REG_END,SI,2018,0.0
EXP,REG_END,SI,2019,0.0
EXP,REG_END,SI,2020,0.0
EXP,REG_END,SI,2022,0.0
EXP,REG_END,SK,2012,0.0
EXP,REG_END,SK,2013,0.0
EXP,REG_END,SK,2014,1.0
EXP,REG_END,SK,2015,0.0
EXP,REG_END,SK,2016,2.0
EXP,REG_END,SK,2017,1.0
EXP,REG_END,SK,2019,19.0
EXP,REG_END,SK,2020,5.0
EXP,REG_END,SK,2022,1.55
EXP,REG_END,TR,2012,39.0
EXP,REG_END,TR,2013,39.0
EXP,REG_END,TR,2014,37.0
EXP,REG_END,TR,2015,42.0
EXP,REG_END,TR,2016,46.0
EXP,REG_END,TR,2017,69.0
EXP,REG_END,TR,2018,97.0
EXP,REG_END,TR,2019,209.0
EXP,REG_END,TR,2020,499.0
EXP,REG_END,TR,2021,515.0
EXP,REG_END,TR,2022,515.0
EXP,REG_END,UK,2012,0.0
EXP,REG_END,UK,2013,0.0
EXP,REG_END,UK,2014,0.0
EXP,REG_END,UK,2015,0.0
EXP,REG_END,UK,2016,0.0
EXP,REG_END,UK,2017,0.0
EXP,REG_END,UK,2018,0.0
EXP,REG_END,UK,2019,0.0
EXP,REG_END,UK,2022,0.0
EXP,REG_NEW,AL,2022,26.0
EXP,REG_NEW,AT,2017,7.0
EXP,REG_NEW,AT,2019,0.0
EXP,REG_NEW,AT,2020,0.0
EXP,REG_NEW,AT,2022,0.0
EXP,REG_NEW,BE,2022,0.0
EXP,REG_NEW,BG,2013,0.0
EXP,REG_NEW,BG,2014,2.0
EXP,REG_NEW,BG,2015,3.0
EXP,REG_NEW,BG,2016,0.0
