geo,TIME_PERIOD,procstat,EXP,IMP,PRC,PRD_AGRI
IT,2020,REG_END,885.0,544.0,22689.0,71590.0
LT,2012,REG_END,0.0,0.0,91.0,2511.0
LT,2013,REG_END,0.0,3.0,108.0,2570.0
LT,2014,REG_END,0.0,5.0,67.0,2445.0
LT,2015,REG_END,0.0,8.0,61.0,2672.0
LT,2016,REG_END,2.0,11.0,65.0,2539.0
LT,2017,REG_END,0.0,12.0,86.0,2478.0
LT,2018,REG_END,0.0,11.0,81.0,2476.0
LT,2019,REG_END,0.0,3.0,124.0,2417.0
LT,2020,REG_END,0.0,1.0,148.0,2230.0
LT,2021,REG_END,0.0,1.0,121.0,2529.0
LU,2013,REG_END,0.0,2.0,64.0,83.0
LU,2014,REG_END,0.0,5.0,72.0,79.0
LU,2014,REG_NEW,0.0,3.0,11.0,0.0
LU,2014,REG_WDN,0.0,0.0,3.0,4.0
LU,2015,REG_END,0.0,6.0,79.0,88.0
LU,2016,REG_END,0.0,4.0,82.0,93.0
LU,2017,REG_END,0.0,6.0,88.0,103.0
LU,2018,REG_END,0.0,8.0,94.0,103.0
LU,2019,REG_END,0.0,7.0,101.0,105.0
LU,2020,REG_END,0.0,7.0,104.0,114.0
LU,2021,REG_END,0.0,8.0,107.0,123.0
LV,2012,REG_END,0.0,2.0,86.0,3496.0
LV,2013,REG_END,0.0,6.0,59.0,3490.0
LV,2013,REG_NEW,0.0,4.0,23.0,85.0
LV,2013,REG_WDN,0.0,0.0,11.0,108.0
LV,2014,REG_END,1.0,6.0,50.0,3475.0
LV,2014,REG_NEW,1.0,0.0,0.0,102.0
LV,2014,REG_WDN,0.0,0.0,0.0,95.0
LV,2015,REG_END,1.0,10.0,75.0,3634.0
LV,2015,REG_NEW,0.0,4.0,33.0,637.0
LV,2015,REG_WDN,0.0,0.0,8.0,478.0
LV,2016,REG_END,1.0,9.0,48.0,4145.0
LV,2016,REG_NEW,0.0,0.0,4.0,594.0
LV,2016,REG_WDN,0.0,1.0,31.0,83.0
LV,2017,REG_END,0.0,10.0,51.0,4178.0
LV,2017,REG_NEW,0.0,1.0,11.0,173.0
LV,2017,REG_WDN,1.0,0.0,8.0,140.0
LV,2019,REG_END,0.0,5.0,65.0,4171.0
LV,2019,REG_NEW,0.0,1.0,9.0,91.0
LV,2019,REG_WDN,0.0,5.0,3.0,90.0
MT,2012,REG_END,0.0,2.0,4.0,12.0
MT,2013,REG_END,0.0,11.0,10.0,9.0
MT,2013,REG_NEW,0.0,9.0,1.0,0.0
MT,2013,REG_WDN,0.0,0.0,0.0,4.0
MT,2014,REG_END,0.0,11.0,9.0,10.0
MT,2014,REG_NEW,0.0,1.0,0.0,2.0
MT,2014,REG_WDN,0.0,1.0,1.0,1.0
MT,2015,REG_END,0.0,12.0,8.0,11.0
MT,2015,REG_NEW,0.0,2.0,0.0,3.0
MT,2015,REG_WDN,0.0,1.0,1.0,2.0
MT,2016,REG_END,0.0,13.0,7.0,14.0
MT,2016,REG_NEW,0.0,1.0,2.0,5.0
MT,2016,REG_WDN,0.0,0.0,3.0,2.0
MT,2017,REG_END,0.0,12.0,5.0,13.0
MT,2017,REG_NEW,0.0,0.0,0.0,0.0
MT,2017,REG_WDN,0.0,1.0,2.0,1.0
MT,2018,REG_END,0.0,14.0,5.0,19.0
MT,2018,REG_NEW,0.0,2.0,0.0,6.0
MT,2018,REG_WDN,0.0,0.0,0.0,0.0
MT,2019,REG_END,0.0,14.0,7.0,24.0
MT,2019,REG_NEW,0.0,2.0,2.0,5.0
MT,2019,REG_WDN,0.0,2.0,0.0,0.0
MT,2020,REG_END,0.0,17.0,8.0,25.0
MT,2020,REG_NEW,0.0,3.0,1.0,4.0
MT,2020,REG_WDN,0.0,0.0,0.0,3.0
MT,2021,REG_END,0.0,37.0,8.0,25.0
NL,2012,REG_END,0.0,0.0,1035.0,1658.0
NL,2013,REG_END,0.0,0.0,1088.0,1650.0
NL,2014,REG_END,70.0,276.0,999.0,1457.0
NL,2015,REG_END,73.0,315.0,994.0,1475.0
NL,2016,REG_END,81.0,364.0,990.0,1557.0
NL,2017,REG_END,87.0,385.0,995.0,1696.0
NL,2018,REG_END,116.0,417.0,1031.0,1787.0
NL,2019,REG_END,120.0,462.0,1021.0,1867.0
NL,2020,REG_END,132.0,479.0,993.0,1937.0
NL,2021,REG_END,146.0,533.0,995.0,1985.0
PL,2012,REG_END,33.0,30.0,312.0,25944.0
PL,2013,REG_END,50.0,46.0,407.0,26598.0
PL,2014,REG_END,71.0,68.0,484.0,24829.0
PL,2015,REG_END,107.0,92.0,336.0,22295.0
PL,2016,REG_END,180.0,120.0,436.0,22451.0
PL,2017,REG_END,216.0,161.0,455.0,20276.0
PL,2018,REG_END,249.0,208.0,533.0,19224.0
PL,2019,REG_END,256.0,238.0,636.0,18655.0
PL,2020,REG_END,319.0,267.0,668.0,18598.0
PT,2012,REG_END,0.0,1.0,376.0,2833.0
PT,2013,REG_END,0.0,2.0,437.0,3029.0
PT,2013,REG_NEW,0.0,1.0,90.0,458.0
PT,2013,REG_WDN,0.0,0.0,48.0,187.0
PT,2014,REG_END,0.0,2.0,540.0,3329.0
PT,2014,REG_NEW,0.0,0.0,111.0,552.0
PT,2014,REG_WDN,0.0,0.0,33.0,207.0
PT,2015,REG_END,6.0,10.0,558.0,4103.0
PT,2015,REG_NEW,0.0,1.0,110.0,1133.0
PT,2015,REG_WDN,0.0,1.0,46.0,320.0
PT,2016,REG_END,1.0,15.0,639.0,4246.0
PT,2017,REG_END,1.0,22.0,760.0,4674.0
PT,2017,REG_NEW,0.0,7.0,155.0,668.0
PT,2017,REG_WDN,0.0,0.0,34.0,240.0
PT,2018,REG_END,23.0,33.0,788.0,5213.0
PT,2019,REG_END,34.0,41.0,933.0,5637.0
PT,2020,REG_END,36.0,47.0,1036.0,5945.0
PT,2021,REG_END,31.0,66.0,1296.0,13263.0
RO,2012,REG_END,3.0,3.0,105.0,15280.0
RO,2013,REG_END,1.0,1.0,100.0,14553.0
RO,2014,REG_END,1.0,3.0,124.0,14151.0
RO,2014,REG_NEW,0.0,1.0,48.0,2706.0
RO,2014,REG_WDN,0.0,0.0,28.0,3100.0
RO,2015,REG_END,3.0,6.0,142.0,11812.0
RO,2015,REG_NEW,1.0,1.0,50.0,1216.0
RO,2015,REG_WDN,0.0,1.0,35.0,3498.0
RO,2016,REG_END,5.0,5.0,150.0,10083.0
RO,2016,REG_NEW,2.0,1.0,51.0,1426.0
RO,2016,REG_WDN,0.0,2.0,43.0,3155.0
RO,2017,REG_END,6.0,9.0,161.0,7908.0
RO,2017,REG_NEW,2.0,7.0,39.0,1762.0
RO,2017,REG_WDN,1.0,3.0,28.0,3937.0
RO,2018,REG_END,11.0,18.0,175.0,8518.0
RO,2019,REG_END,15.0,24.0,191.0,9277.0
RO,2020,REG_END,27.0,30.0,201.0,9647.0
RO,2021,REG_END,25.0,34.0,209.0,11562.0
SE,2012,REG_END,1.0,218.0,680.0,5599.0
SE,2013,REG_END,31.0,248.0,762.0,5584.0
SE,2014,REG_END,32.0,247.0,855.0,5406.0
SE,2015,REG_END,32.0,207.0,880.0,5605.0
SE,2016,REG_END,10.0,165.0,1144.0,5741.0
SE,2017,REG_END,14.0,174.0,1328.0,5801.0
SE,2018,REG_END,13.0,205.0,1350.0,5804.0
SE,2019,REG_END,18.0,258.0,1027.0,5730.0
SE,2020,REG_END,15.0,298.0,1048.0,5489.0
SE,2021,REG_END,27.0,361.0,1128.0,5360.0
SI,2012,REG_END,0.0,0.0,177.0,2680.0
SI,2013,REG_END,0.0,9.0,193.0,3045.0
SI,2014,REG_END,0.0,11.0,236.0,3293.0
SI,2015,REG_END,0.0,12.0,279.0,3412.0
SI,2016,REG_END,0.0,14.0,310.0,3513.0
SI,2017,REG_END,0.0,18.0,375.0,3627.0
SI,2018,REG_END,0.0,24.0,133.0,3738.0
SI,2019,REG_END,0.0,27.0,142.0,3823.0
SI,2020,REG_END,0.0,28.0,139.0,3685.0
SK,2012,REG_END,0.0,7.0,57.0,362.0
SK,2013,REG_END,0.0,2.0,48.0,343.0
SK,2014,REG_END,1.0,13.0,56.0,403.0
SK,2014,REG_NEW,2.0,13.0,12.0,80.0
SK,2014,REG_WDN,1.0,2.0,4.0,20.0
SK,2015,REG_END,0.0,11.0,48.0,420.0
SK,2016,REG_END,2.0,13.0,36.0,431.0
SK,2017,REG_END,1.0,22.0,85.0,439.0
SK,2017,REG_NEW,0.0,0.0,0.0,35.0
SK,2017,REG_WDN,0.0,0.0,0.0,27.0
SK,2019,REG_END,19.0,44.0,142.0,567.0
SK,2020,REG_END,5.0,43.0,119.0,716.0
